go_id,external_gene_name,namespace_1003
,ATP23,
GO:0004222,ATP23,molecular_function
GO:0043231,ATP23,cellular_component
GO:0046872,ATP23,molecular_function
GO:0005829,ATP23,cellular_component
GO:0005886,ATP23,cellular_component
GO:0008233,ATP23,molecular_function
GO:0006508,ATP23,biological_process
GO:0016787,ATP23,molecular_function
GO:0006468,ATP23,biological_process
GO:0030054,ATP23,cellular_component
GO:0005515,ATP23,molecular_function
GO:0008237,ATP23,molecular_function
GO:0006303,ATP23,biological_process
GO:0005958,ATP23,cellular_component
GO:0033615,ATP23,biological_process
GO:0031314,ATP23,cellular_component
GO:0034982,ATP23,biological_process
GO:0004677,ATP23,molecular_function
,RAD17,
GO:0005634,RAD17,cellular_component
GO:0006281,RAD17,biological_process
GO:0000077,RAD17,biological_process
GO:0003689,RAD17,molecular_function
GO:0031389,RAD17,cellular_component
GO:0000166,RAD17,molecular_function
GO:0005524,RAD17,molecular_function
GO:0005654,RAD17,cellular_component
GO:0006974,RAD17,biological_process
GO:0005515,RAD17,molecular_function
GO:0007049,RAD17,biological_process
GO:0003682,RAD17,molecular_function
GO:0005730,RAD17,cellular_component
GO:0000781,RAD17,cellular_component
GO:1901796,RAD17,biological_process
GO:0006260,RAD17,biological_process
GO:0042325,RAD17,biological_process
GO:0033314,RAD17,biological_process
GO:0000076,RAD17,biological_process
GO:0008156,RAD17,biological_process
GO:0031573,RAD17,biological_process
GO:0005524,CDK7,molecular_function
GO:0006468,CDK7,biological_process
GO:0004672,CDK7,molecular_function
GO:0005675,CDK7,cellular_component
GO:0070985,CDK7,cellular_component
GO:0008353,CDK7,molecular_function
GO:0106310,CDK7,molecular_function
GO:0106311,CDK7,molecular_function
GO:0004693,CDK7,molecular_function
GO:0051726,CDK7,biological_process
,CDK7,
GO:0005634,CDK7,cellular_component
GO:0005737,CDK7,cellular_component
GO:0000166,CDK7,molecular_function
GO:0004674,CDK7,molecular_function
GO:0016301,CDK7,molecular_function
GO:0016740,CDK7,molecular_function
GO:0016310,CDK7,biological_process
GO:0005654,CDK7,cellular_component
GO:0005829,CDK7,cellular_component
GO:0005886,CDK7,cellular_component
GO:0001650,CDK7,cellular_component
GO:0051301,CDK7,biological_process
GO:0006281,CDK7,biological_process
GO:0006974,CDK7,biological_process
GO:0005515,CDK7,molecular_function
GO:0007049,CDK7,biological_process
GO:0048471,CDK7,cellular_component
GO:0007050,CDK7,biological_process
GO:0045944,CDK7,biological_process
GO:0006366,CDK7,biological_process
GO:0000086,CDK7,biological_process
GO:0008022,CDK7,molecular_function
GO:0006368,CDK7,biological_process
GO:0006370,CDK7,biological_process
GO:0006367,CDK7,biological_process
GO:0042795,CDK7,biological_process
GO:0008094,CDK7,molecular_function
GO:0006361,CDK7,biological_process
GO:0006363,CDK7,biological_process
GO:0006283,CDK7,biological_process
GO:0000079,CDK7,biological_process
GO:0000082,CDK7,biological_process
GO:0050821,CDK7,biological_process
GO:0006294,CDK7,biological_process
GO:0000439,CDK7,cellular_component
GO:0070516,CDK7,cellular_component
GO:0070816,CDK7,biological_process
GO:0019907,CDK7,cellular_component
GO:0006289,GTF2H4,biological_process
GO:0001671,GTF2H4,molecular_function
GO:0000439,GTF2H4,cellular_component
GO:0005634,GTF2H4,cellular_component
GO:0016607,GTF2H4,cellular_component
GO:0006281,GTF2H4,biological_process
GO:0006974,GTF2H4,biological_process
GO:0005515,GTF2H4,molecular_function
GO:0032781,GTF2H4,biological_process
GO:0005675,GTF2H4,cellular_component
GO:0005654,GTF2H4,cellular_component
GO:0006366,GTF2H4,biological_process
GO:0006368,GTF2H4,biological_process
GO:0006370,GTF2H4,biological_process
GO:0006367,GTF2H4,biological_process
GO:0003690,GTF2H4,molecular_function
GO:0006361,GTF2H4,biological_process
GO:0006363,GTF2H4,biological_process
GO:0006283,GTF2H4,biological_process
GO:0006293,GTF2H4,biological_process
GO:0006295,GTF2H4,biological_process
GO:0006296,GTF2H4,biological_process
GO:0033683,GTF2H4,biological_process
GO:0070911,GTF2H4,biological_process
GO:0000717,GTF2H4,biological_process
GO:0006294,GTF2H4,biological_process
GO:0016251,GTF2H4,molecular_function
GO:0005669,GTF2H4,cellular_component
GO:0070816,GTF2H4,biological_process
GO:0000438,GTF2H4,cellular_component
,GTF2H4,
GO:0003677,HMGB1,molecular_function
GO:0005634,HMGB1,cellular_component
GO:0043536,HMGB1,biological_process
GO:1905564,HMGB1,biological_process
GO:0071222,HMGB1,biological_process
GO:0003723,HMGB1,molecular_function
GO:0005737,HMGB1,cellular_component
GO:0016020,HMGB1,cellular_component
GO:0005886,HMGB1,cellular_component
GO:0005768,HMGB1,cellular_component
GO:0016829,HMGB1,molecular_function
GO:0007165,HMGB1,biological_process
GO:0005576,HMGB1,cellular_component
GO:0005694,HMGB1,cellular_component
GO:0005615,HMGB1,cellular_component
GO:0006935,HMGB1,biological_process
GO:0006281,HMGB1,biological_process
GO:0006974,HMGB1,biological_process
GO:0005515,HMGB1,molecular_function
GO:0006914,HMGB1,biological_process
GO:0006310,HMGB1,biological_process
